input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###ppppppp###,kppppps,kauppaa,0.054735,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###bbbbbbb###,belväat,belgian,0.012018,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###ööööööö###,yöööhöö,lähtöön,0.074824,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###rrrrrrr###,rerrrrt,rehtori,0.026124,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###uuuuuuu###,uuuuuuu,vakuutu,0.031832,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###sssssss###,sosssss,jossain,0.027410,,,0,0
###aaaaaaa###,apaaaaa,antamaa,0.004506,,,0,0
###mmmmmmm###,memmmme,vammala,0.062513,,,0,0
###yyyyyyy###,yiyhyyy,köyhyys,0.099732,,,0,0
###ggggggg###,bnggrds,belgian,0.136591,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###ttttttt###,tutttot,tuottoa,0.052771,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###äääääää###,äääääää,määrätä,0.022785,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###jjjjjjj###,jajujjs,pajunen,0.063419,,,0,0
###ddddddd###,dddddds,kanadan,0.028951,,,0,0
###hhhhhhh###,hhhhhrs,huhtala,0.047068,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###ooooooo###,oposooo,opastaa,0.030303,,,0,0
###kkkkkkk###,kkkkkko,kukaksi,0.100448,,,0,0
###fffffff###,fonvuls,formula,0.104762,,,0,0
###vvvvvvv###,vvvvvvs,kuvaava,0.142537,,,0,0
###lllllll###,lolälli,talolla,0.076664,,,0,0
###eeeeeee###,epeeeee,viereen,0.016007,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
###nnnnnnn###,nennnnn,nenonen,0.340023,,,0,0
###iiiiiii###,iiihiii,piiriin,0.009431,,,0,0
